Client: 
Generated: 26-09-2017 09:00:19
Folder: C:\sleepData\20151108-01-14-50
Threshold value: 96.2679%
Total sleep time: 05:54:38
Images in series: 2590
*************************************************************************************************
Image #,Segment #,Image Name,Comment,Side,SSL,Position,Segment Duration,Elapsed Time,Time of Day
1,1,KinectScreenshot-Depth-20151108-01-14-58.png,,,,3,75.8 minutes,00:00:00,8/11/2015 1:14:58 AM
555,2,KinectScreenshot-Depth-20151108-02-30-47.png,,,,4,26.3 minutes,01:15:49,8/11/2015 2:30:47 AM
747,3,KinectScreenshot-Depth-20151108-02-57-04.png,,,,1,135.2 minutes,01:42:06,8/11/2015 2:57:04 AM
1734,4,KinectScreenshot-Depth-20151108-05-12-17.png,,,,4,41.1 minutes,03:57:19,8/11/2015 5:12:17 AM
2034,5,KinectScreenshot-Depth-20151108-05-53-24.png,,,,1,58.2 minutes,04:38:26,8/11/2015 5:53:24 AM
2459,6,KinectScreenshot-Depth-20151108-06-51-39.png,,,,4,14.4 minutes,05:36:41,8/11/2015 6:51:39 AM
2564,7,KinectScreenshot-Depth-20151108-07-06-03.png,,,,1,3.6 minutes,05:51:05,8/11/2015 7:06:03 AM
*************************************************************************************************
Sleep Position,Total Duration,% of Total,# Occurrences,Average Duration
0,0 minutes,0,0,0 minutes
1,197 minutes,55.6,3,65.7 minutes
2,0 minutes,0,0,0 minutes
3,75.8 minutes,21.4,1,75.8 minutes
4,81.8 minutes,23.1,3,27.3 minutes
5,0 minutes,0,0,0 minutes
6,0 minutes,0,0,0 minutes
7,0 minutes,0,0,0 minutes
8,0 minutes,0,0,0 minutes
9,0 minutes,0,0,0 minutes
10,0 minutes,0,0,0 minutes
11,0 minutes,0,0,0 minutes
12,0 minutes,0,0,0 minutes
13,0 minutes,0,0,0 minutes
14,0 minutes,0,0,0 minutes
15,0 minutes,0,0,0 minutes
16,0 minutes,0,0,0 minutes
